id,fl_matriz,de_natureza_juridica,sg_uf,natureza_juridica_macro,de_ramo,setor,idade_empresa_anos,idade_emp_cat,fl_me,fl_sa,fl_epp,fl_mei,fl_ltda,dt_situacao,fl_st_especial,fl_email,fl_telefone,fl_rm,nm_divisao,nm_segmento,fl_spa,fl_antt,fl_veiculo,vl_total_tancagem,vl_total_veiculos_antt,vl_total_veiculos_leves,vl_total_veiculos_pesados,fl_optante_simples,qt_art,vl_total_veiculos_pesados_grupo,vl_total_veiculos_leves_grupo,vl_total_tancagem_grupo,vl_total_veiculos_antt_grupo,vl_potenc_cons_oleo_gas,fl_optante_simei,sg_uf_matriz,de_saude_tributaria,de_saude_rescencia,nu_meses_rescencia,de_nivel_atividade,de_indicador_telefone,fl_simples_irregular,vl_frota,empsetorcensitariofaixarendapopulacao,nm_meso_regiao,nm_micro_regiao,fl_passivel_iss,qt_socios,qt_socios_pf,qt_socios_pj,idade_media_socios,idade_maxima_socios,idade_minima_socios,qt_socios_st_regular,qt_socios_st_suspensa,qt_socios_masculino,qt_socios_feminino,qt_socios_pep,qt_alteracao_socio_total,qt_alteracao_socio_90d,qt_alteracao_socio_180d,qt_alteracao_socio_365d,qt_socios_pj_ativos,qt_socios_pj_nulos,qt_socios_pj_baixados,qt_socios_pj_suspensos,qt_socios_pj_inaptos,vl_idade_media_socios_pj,vl_idade_maxima_socios_pj,vl_idade_minima_socios_pj,qt_coligados,qt_socios_coligados,qt_coligados_matriz,qt_coligados_ativo,qt_coligados_baixada,qt_coligados_inapta,qt_coligados_suspensa,qt_coligados_nula,idade_media_coligadas,idade_maxima_coligadas,idade_minima_coligadas,coligada_mais_nova_ativa,coligada_mais_antiga_ativa,idade_media_coligadas_ativas,coligada_mais_nova_baixada,coligada_mais_antiga_baixada,idade_media_coligadas_baixadas,qt_coligados_sa,qt_coligados_me,qt_coligados_mei,qt_coligados_ltda,qt_coligados_epp,qt_coligados_norte,qt_coligados_sul,qt_coligados_nordeste,qt_coligados_centro,qt_coligados_sudeste,qt_coligados_exterior,qt_ufs_coligados,qt_regioes_coligados,qt_ramos_coligados,qt_coligados_industria,qt_coligados_agropecuaria,qt_coligados_comercio,qt_coligados_serviço,qt_coligados_ccivil,qt_funcionarios_coligados,qt_funcionarios_coligados_gp,media_funcionarios_coligados_gp,max_funcionarios_coligados_gp,min_funcionarios_coligados_gp,vl_folha_coligados,media_vl_folha_coligados,max_vl_folha_coligados,min_vl_folha_coligados,vl_folha_coligados_gp,media_vl_folha_coligados_gp,max_vl_folha_coligados_gp,min_vl_folha_coligados_gp,faturamento_est_coligados,media_faturamento_est_coligados,max_faturamento_est_coligados,min_faturamento_est_coligados,faturamento_est_coligados_gp,media_faturamento_est_coligados_gp,max_faturamento_est_coligados_gp,min_faturamento_est_coligados_gp,total_filiais_coligados,media_filiais_coligados,max_filiais_coligados,min_filiais_coligados,qt_coligados_atividade_alto,qt_coligados_atividade_medio,qt_coligados_atividade_baixo,qt_coligados_atividade_mt_baixo,qt_coligados_atividade_inativo,qt_coligadas,sum_faturamento_estimado_coligadas,de_faixa_faturamento_estimado,de_faixa_faturamento_estimado_grupo,vl_faturamento_estimado_aux,vl_faturamento_estimado_grupo_aux,qt_ex_funcionarios,qt_funcionarios_grupo,percent_func_genero_masc,percent_func_genero_fem,idade_ate_18,idade_de_19_a_23,idade_de_24_a_28,idade_de_29_a_33,idade_de_34_a_38,idade_de_39_a_43,idade_de_44_a_48,idade_de_49_a_53,idade_de_54_a_58,idade_acima_de_58,grau_instrucao_macro_analfabeto,grau_instrucao_macro_escolaridade_fundamental,grau_instrucao_macro_escolaridade_media,grau_instrucao_macro_escolaridade_superior,grau_instrucao_macro_desconhecido,total,meses_ultima_contratacaco,qt_admitidos_12meses,qt_desligados_12meses,qt_desligados,qt_admitidos,media_meses_servicos_all,max_meses_servicos_all,min_meses_servicos_all,media_meses_servicos,max_meses_servicos,min_meses_servicos,qt_funcionarios,qt_funcionarios_12meses,qt_funcionarios_24meses,tx_crescimento_12meses,tx_crescimento_24meses,tx_rotatividade,qt_filiais,id_num,cliente,pred_1,pred_2,pred_3,predict_sum,dist_centroid,dist_centroid_norm
ae9b585cce5c12d83b86df9d4ab3caef3726cb105185ca484bdbd34e580a6b9d,True,SOCIEDADE EMPRESARIA LIMITADA,AM,ENTIDADES EMPRESARIAIS,ELETROELETRONICOS,INDUSTRIA,29.810958904109587,> 20,False,False,False,False,False,2005-11-03,False,True,True,SIM,FABRICACAO DE EQUIPAMENTOS DE INFORMATICA PRODUTOS ELETRONICOS E OPTICOS,INDUSTRIAS DE TRANSFORMACAO,False,False,True,,,1.0,0.0,False,5.0,0.0,7.0,,,,False,AM,VERDE,ACIMA DE 1 ANO,24.0,ALTA,BOA,False,31826.0,2357.75,CENTRO AMAZONENSE,MANAUS,True,7.0,6.0,1.0,44.5,56.0,26.0,6.0,,5.0,1.0,,,,,,1.0,0.0,0.0,0.0,0.0,14.685831622176593,14.685831622176593,14.685831622176593,11.0,18.0,11.0,11.0,0.0,0.0,0.0,0.0,126.00909090909092,189.33333333333331,25.1,25.1,189.33333333333331,126.00909090909092,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,1.0,1.0,6.0,0.0,0.0,2.0,9.0,0.0,226.0,226.0,113.0,225.0,1.0,14383267.19921875,7191633.599609375,14321448.0,61819.2,14383267.19921875,7191633.599609375,14321448.0,61819.2,37879077.59375,3443552.508522727,35803620.0,185457.6,38089077.59375,3462643.4176136362,35803620.0,210000.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,37879077.59375,"DE R$ 100.000.000,01 A R$ 300.000.000,00","DE R$ 100.000.000,01 A R$ 300.000.000,00",106952370.0,247591040.0,1629.0,860.0,52.56,47.44,8.0,33.0,58.0,89.0,85.0,64.0,56.0,22.0,10.0,5.0,,2.0,371.0,57.0,,430.0,2.533333333333333,126.0,58.0,1629.0,2060.0,31.00711738002591,289.0,-0.7,58.342536736272315,289.0,2.533333333333333,431.0,364.0,347.0,18.406593406593412,24.20749279538905,14.609571788413101,6,156637,0,1,1,1,3,1.2125301594505153,0.2668885430043521
1b16e60481c0f98a71ca84678e0b8b3aa98ed5e6be41b3fcea7c890b3e28dc8a,True,SOCIEDADE EMPRESARIA LIMITADA,MA,ENTIDADES EMPRESARIAIS,INDUSTRIA DA CONSTRUCAO,CONSTRUÇÃO CIVIL,9.063013698630137,5 a 10,False,False,False,False,False,2009-10-07,False,False,True,NAO,CONSTRUCAO DE EDIFICIOS,CONSTRUCAO,False,False,True,,,0.0,1.0,False,,1.0,0.0,,,1.0,False,MA,VERDE,ACIMA DE 1 ANO,22.0,ALTA,BOA,False,113652.0,1935.38,OESTE MARANHENSE,IMPERATRIZ,True,2.0,2.0,0.0,45.0,45.0,45.0,1.0,,1.0,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,142.76666666666668,142.76666666666668,142.76666666666668,142.76666666666668,142.76666666666668,142.76666666666668,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,3.0,3.0,3.0,123638.3984375,123638.3984375,123638.4,123638.4,123638.3984375,123638.3984375,123638.4,123638.4,247276.796875,247276.796875,247276.8,247276.8,247276.796875,247276.796875,247276.8,247276.8,,,,,0.0,0.0,0.0,0.0,0.0,1.0,247276.796875,"DE R$ 10.000.000,01 A R$ 30.000.000,00","DE R$ 10.000.000,01 A R$ 30.000.000,00",11488068.0,11488068.0,286.0,73.0,94.52,5.48,,3.0,9.0,17.0,12.0,10.0,13.0,5.0,3.0,1.0,1.0,44.0,21.0,7.0,,73.0,2.2333333333333334,31.0,31.0,287.0,360.0,11.523981481481474,89.2,-0.4666666666666667,23.80821917808219,89.2,2.2333333333333334,73.0,71.0,107.0,2.8169014084507005,-31.775700934579444,42.46575342465753,0,187418,0,1,1,0,2,1.2449593507360952,0.2740264929724915
d7c7b0bc3b4e341fa30f773a68093837652f4e5f11d74a03a361fcf03a9e0eb7,True,SOCIEDADE EMPRESARIA LIMITADA,MA,ENTIDADES EMPRESARIAIS,COMERCIO POR ATACADO,COMERCIO,28.435616438356167,> 20,False,False,False,False,False,2005-11-03,False,False,True,SIM,COMERCIO POR ATACADO EXCETO VEICULOS AUTOMOTORES E MOTOCICLETAS,COMERCIO; REPARACAO DE VEICULOS AUTOMOTORES E MOTOCICLETAS,False,False,True,,,10.0,3.0,False,,3.0,10.0,,,,False,MA,VERDE,ACIMA DE 1 ANO,23.0,ALTA,BOA,False,762570.0,805.11,OESTE MARANHENSE,IMPERATRIZ,True,2.0,2.0,0.0,52.5,54.0,51.0,2.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"DE R$ 10.000.000,01 A R$ 30.000.000,00","DE R$ 30.000.000,01 A R$ 100.000.000,00",19782144.0,30278674.0,133.0,111.0,78.57,21.43,,9.0,7.0,12.0,12.0,7.0,7.0,1.0,1.0,,,3.0,47.0,6.0,,56.0,5.3,18.0,20.0,133.0,189.0,25.450440917107592,206.83333333333331,-0.5333333333333333,46.305952380952384,206.83333333333331,5.3,56.0,59.0,79.0,-5.0847457627118615,-29.11392405063291,35.087719298245624,6,115127,0,1,1,1,3,1.2538751010783338,0.2759889279685075
10f4f235fc1735ad8ce3b6acc7780fb00b57fecaa40f1b47a88d140b51689926,True,SOCIEDADE EMPRESARIA LIMITADA,PI,ENTIDADES EMPRESARIAIS,SERVICOS ADMINISTRATIVOS,SERVIÇO,21.745205479452054,> 20,False,False,False,False,False,2005-11-03,False,False,True,SIM,ATIVIDADES DE VIGILANCIA SEGURANCA E INVESTIGACAO,ATIVIDADES ADMINISTRATIVAS E SERVICOS COMPLEMENTARES,False,False,True,,,3.0,0.0,False,,0.0,3.0,,,,False,PI,VERDE,ACIMA DE 1 ANO,23.0,ALTA,BOA,False,52418.0,1939.8,CENTRO NORTE PIAUIENSE,TERESINA,True,2.0,2.0,0.0,50.0,51.0,49.0,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"DE R$ 10.000.000,01 A R$ 30.000.000,00","DE R$ 10.000.000,01 A R$ 30.000.000,00",15506316.0,15506316.0,631.0,99.0,89.9,10.1,,,3.0,17.0,17.0,22.0,12.0,18.0,6.0,4.0,,15.0,81.0,3.0,,99.0,2.9,3.0,44.0,631.0,730.0,52.366621004566184,240.4333333333333,-0.3,47.160942760942774,195.7,2.9,99.0,141.0,264.0,-29.78723404255319,-62.5,36.82008368200837,0,441855,0,1,1,1,3,1.285646823740626,0.28298216331526393
73f52c56d0e15c4bab464cae17981ed62bea2e01d4fbf9ab81a1682c4f3b5200,True,SOCIEDADE EMPRESARIA LIMITADA,PI,ENTIDADES EMPRESARIAIS,INDUSTRIA DA CONSTRUCAO,CONSTRUÇÃO CIVIL,23.24109589041096,> 20,False,False,False,False,False,2005-10-07,False,False,True,SIM,CONSTRUCAO DE EDIFICIOS,CONSTRUCAO,False,False,True,,,7.0,1.0,False,44.0,1.0,7.0,,,,False,PI,VERDE,ACIMA DE 1 ANO,23.0,ALTA,BOA,False,366743.0,,CENTRO NORTE PIAUIENSE,TERESINA,True,2.0,2.0,0.0,36.0,36.0,36.0,1.0,,1.0,,1.0,,,,,,,,,,,,,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,165.6,165.6,165.6,165.6,165.6,165.6,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,8.0,8.0,8.0,8.0,8.0,494553.59375,494553.59375,494553.6,494553.6,494553.59375,494553.59375,494553.6,494553.6,989107.1875,989107.1875,989107.2,989107.2,989107.1875,989107.1875,989107.2,989107.2,,,,,0.0,0.0,0.0,0.0,0.0,1.0,989107.1875,"DE R$ 10.000.000,01 A R$ 30.000.000,00","DE R$ 10.000.000,01 A R$ 30.000.000,00",10303200.0,10303200.0,1241.0,63.0,95.24,4.76,,10.0,11.0,7.0,7.0,4.0,9.0,9.0,2.0,4.0,2.0,40.0,16.0,5.0,,63.0,2.933333333333333,43.0,70.0,1244.0,1307.0,12.972597137014315,78.0,-0.5,27.137566137566147,78.0,2.933333333333333,63.0,102.0,274.0,-38.23529411764706,-77.00729927007299,91.5032679738562,1,268238,0,1,1,1,3,1.2871316387584324,0.2833089841482508
07f76283ed177713c5dcb561733c1811a09a6238d8d71f1f32f3d4bb4c20c884,True,SOCIEDADE EMPRESARIA LIMITADA,AM,ENTIDADES EMPRESARIAIS,QUIMICA-PETROQUIMICA,INDUSTRIA,25.079452054794523,> 20,False,False,False,False,False,2001-09-01,False,True,True,SIM,FABRICACAO DE PRODUTOS DE BORRACHA E DE MATERIAL PLASTICO,INDUSTRIAS DE TRANSFORMACAO,False,False,True,,,3.0,2.0,False,3.0,2.0,3.0,,,,False,AM,VERDE,ACIMA DE 1 ANO,23.0,ALTA,BOA,False,230584.0,883.87,CENTRO AMAZONENSE,MANAUS,True,3.0,3.0,0.0,42.66666666666666,71.0,18.0,3.0,,2.0,1.0,,,,,,,,,,,,,,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,160.46666666666667,160.46666666666667,160.46666666666667,160.46666666666667,160.46666666666667,160.46666666666667,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,152.0,152.0,152.0,152.0,152.0,9334699.0,9334699.0,9334699.0,9334699.0,9334699.0,9334699.0,9334699.0,9334699.0,30337772.0,30337772.0,30337772.0,30337772.0,30337772.0,30337772.0,30337772.0,30337772.0,,,,,0.0,0.0,0.0,0.0,0.0,1.0,30337772.0,"DE R$ 100.000.000,01 A R$ 300.000.000,00","DE R$ 100.000.000,01 A R$ 300.000.000,00",172650720.0,180536600.0,1643.0,678.0,71.88,28.13,5.0,64.0,109.0,139.0,126.0,71.0,45.0,45.0,26.0,10.0,,11.0,538.0,91.0,,640.0,2.3,111.0,56.0,1643.0,2284.0,32.65449897750514,250.5,-0.6333333333333333,52.203744149765996,250.5,2.3,641.0,587.0,705.0,9.199318568994896,-9.078014184397166,9.127954360228198,3,350416,0,1,1,1,3,1.287140493717011,0.28331093320244544
c0d268f9ecedcbc207237484faec57d9f054afb4c47346171cf158e2d236456a,True,SOCIEDADE EMPRESARIA LIMITADA,MA,ENTIDADES EMPRESARIAIS,COMERCIO POR ATACADO,COMERCIO,21.950684931506853,> 20,False,False,False,False,False,2005-11-03,False,True,True,SIM,COMERCIO POR ATACADO EXCETO VEICULOS AUTOMOTORES E MOTOCICLETAS,COMERCIO; REPARACAO DE VEICULOS AUTOMOTORES E MOTOCICLETAS,False,False,True,,,5.0,18.0,False,,18.0,5.0,,,,False,MA,VERDE,ACIMA DE 1 ANO,24.0,ALTA,BOA,False,2425195.0,2522.76,OESTE MARANHENSE,IMPERATRIZ,False,3.0,3.0,0.0,25.33333333333333,27.0,23.0,3.0,,2.0,1.0,,,,,,,,,,,,,,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,30.03333333333333,45.2,14.866666666666667,14.866666666666667,45.2,30.03333333333333,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,123638.3984375,123638.3984375,123638.4,123638.4,123638.3984375,123638.3984375,123638.4,123638.4,580915.1875,290457.59375,370915.2,210000.0,1420915.1875,710457.59375,1050000.0,370915.2,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,580915.1875,"DE R$ 10.000.000,01 A R$ 30.000.000,00","DE R$ 10.000.000,01 A R$ 30.000.000,00",11931106.0,24381308.0,54.0,98.0,62.16,37.84,1.0,5.0,8.0,4.0,8.0,6.0,2.0,1.0,2.0,,,2.0,28.0,7.0,,37.0,2.466666666666667,7.0,5.0,54.0,92.0,43.76630434782609,254.53333333333333,-0.4666666666666667,65.28508771929825,254.53333333333333,2.466666666666667,38.0,36.0,40.0,5.555555555555558,-5.000000000000004,13.513513513513516,4,56252,0,1,1,1,3,1.2871885674495265,0.2833215146534121
c6874a5836af662d30e77ba12cdbf525290ba40a0ec1156cbc74451eda9ef33f,True,SOCIEDADE EMPRESARIA LIMITADA,AM,ENTIDADES EMPRESARIAIS,COMERCIO VAREJISTA,COMERCIO,9.273972602739725,5 a 10,False,False,False,False,False,2009-07-22,False,False,True,SIM,COMERCIO VAREJISTA,COMERCIO; REPARACAO DE VEICULOS AUTOMOTORES E MOTOCICLETAS,False,False,True,,,10.0,1.0,False,21.0,1.0,10.0,,,1.0,False,AM,VERDE,ACIMA DE 1 ANO,23.0,ALTA,BOA,False,208844.0,2121.48,CENTRO AMAZONENSE,MANAUS,True,2.0,2.0,0.0,46.0,57.0,35.0,2.0,,1.0,1.0,,,,,,,,,,,,,,30.0,64.0,30.0,30.0,0.0,0.0,0.0,0.0,74.07444444444444,315.9,2.8666666666666667,2.8666666666666667,315.9,74.07444444444444,,,,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,0.0,0.0,29.0,1.0,0.0,320.0,481.0,26.722222222222218,188.0,0.0,19473047.82421875,1145473.4014246324,3544300.8,61819.2,29116842.94921875,1712755.467601103,11292307.0,61819.2,67857734.34375,2423490.512276786,17721504.0,185457.6,103039121.09375,3679968.610491072,41175524.0,185457.6,15.0,3.75,8.0,1.0,0.0,0.0,0.0,0.0,0.0,30.0,67857734.34375,"DE R$ 30.000.000,01 A R$ 100.000.000,00","DE R$ 100.000.000,01 A R$ 300.000.000,00",54091800.0,132523700.0,319.0,543.0,53.5,46.5,,16.0,33.0,27.0,29.0,27.0,8.0,7.0,7.0,3.0,,8.0,132.0,17.0,,157.0,2.933333333333333,25.0,35.0,319.0,476.0,24.715196078431372,160.16666666666666,-0.5666666666666667,47.22165605095546,160.16666666666666,2.933333333333333,157.0,164.0,207.0,-4.268292682926833,-24.154589371980677,21.604938271604933,18,59798,0,1,1,0,2,1.2953957763130097,0.28512799344376244
e0e1468a55d3ef9cd2c27e1ef623a2f0a73fe505e4f1afa355b36980485ee0f7,True,SOCIEDADE EMPRESARIA LIMITADA,MA,ENTIDADES EMPRESARIAIS,INDUSTRIA DA CONSTRUCAO,CONSTRUÇÃO CIVIL,31.805479452054797,> 20,False,False,False,False,False,2005-11-03,False,True,True,SIM,CONSTRUCAO DE EDIFICIOS,CONSTRUCAO,False,False,True,,,11.0,5.0,False,3.0,5.0,11.0,,,,False,MA,VERDE,ACIMA DE 1 ANO,23.0,ALTA,BOA,False,854137.0,4279.01,NORTE MARANHENSE,AGLOMERACAO URBANA DE SAO LUIS,True,3.0,3.0,0.0,41.0,60.0,31.0,3.0,,1.0,2.0,,,,,,,,,,,,,,2.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,123.91666666666666,188.66666666666663,59.16666666666666,59.16666666666666,188.66666666666663,123.91666666666666,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,420000.0,210000.0,210000.0,210000.0,420000.0,210000.0,210000.0,210000.0,,,,,0.0,0.0,0.0,0.0,0.0,2.0,420000.0,"DE R$ 30.000.000,01 A R$ 100.000.000,00","DE R$ 30.000.000,01 A R$ 100.000.000,00",37761228.0,38811228.0,1274.0,238.0,89.5,10.5,,13.0,35.0,46.0,45.0,33.0,26.0,13.0,18.0,9.0,12.0,130.0,85.0,11.0,,238.0,2.7333333333333334,41.0,99.0,1278.0,1517.0,16.883256427158848,167.16666666666666,-5.066666666666666,37.036262203626215,167.16666666666666,2.7333333333333334,239.0,338.0,455.0,-29.289940828402372,-47.47252747252747,36.940298507462686,5,345012,0,1,1,1,3,1.295527172231483,0.2851569148400384
c509875573570b7b3048e51c84209612a4f31d36de54d7e950b7ceb74eb8ac82,True,SOCIEDADE EMPRESARIA LIMITADA,RN,ENTIDADES EMPRESARIAIS,COMERCIO VAREJISTA,COMERCIO,20.660273972602734,> 20,False,False,False,False,False,2005-11-03,False,False,False,SIM,COMERCIO VAREJISTA,COMERCIO; REPARACAO DE VEICULOS AUTOMOTORES E MOTOCICLETAS,False,False,True,,,1.0,0.0,False,,0.0,1.0,,,,False,RN,VERDE,ACIMA DE 1 ANO,23.0,ALTA,BOA,False,159405.0,1748.48,LESTE POTIGUAR,NATAL,True,2.0,2.0,0.0,45.0,45.0,45.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"DE R$ 10.000.000,01 A R$ 30.000.000,00","DE R$ 10.000.000,01 A R$ 30.000.000,00",25036776.0,26896776.0,576.0,87.0,67.82,32.18,1.0,24.0,20.0,15.0,12.0,4.0,3.0,3.0,2.0,3.0,,10.0,74.0,3.0,,87.0,2.4,49.0,45.0,579.0,667.0,14.133883883883904,127.73333333333332,-0.6333333333333333,34.69090909090909,127.73333333333332,2.4,88.0,88.0,151.0,0.0,-41.721854304635755,52.32558139534883,4,325485,0,1,1,1,3,1.2958540773409224,0.2852288695272509
