,mean,std
['nm_divisao']_COMERCIO VAREJISTA,0.11079400267133822,0.011014453756615179
['de_ramo']_COMERCIO VAREJISTA,0.10422646747205513,0.008731872480230503
['setor']_COMERCIO,0.08064098188041642,0.008011970397829913
['nm_segmento']_COMERCIO; REPARACAO DE VEICULOS AUTOMOTORES E MOTOCICLETAS,0.08029468419524127,0.008970562144468588
['setor']_SERVIÇO,0.0794877379883431,0.007924006736551522
['de_ramo']_BENS DE CONSUMO,0.027847475703945586,0.003886422873066548
fl_passivel_iss,0.027570338131345875,0.004974775773340138
['nm_segmento']_INDUSTRIAS DE TRANSFORMACAO,0.027566032000003668,0.0031642672979791025
['setor']_INDUSTRIA,0.019425507549838673,0.0027047612586344368
['de_ramo']_SERVICOS DIVERSOS,0.019414651119502697,0.0029452510086496702
['nm_segmento']_OUTRAS ATIVIDADES DE SERVICOS,0.01886283913532295,0.002442793911699277
idade_empresa_anos,0.01587141405598244,0.0018425465792669096
dt_situacao,0.015323838803079104,0.0020486769435756895
vl_faturamento_estimado_grupo_aux,0.013884764702004497,0.002261235816874236
['nm_divisao']_ATIVIDADES DE ORGANIZACOES ASSOCIATIVAS,0.013298846341656345,0.0020063814722773273
vl_faturamento_estimado_aux,0.011900131202382995,0.0018570136361255743
['de_natureza_juridica']_EMPRESARIO INDIVIDUAL,0.010074124168303333,0.002215015085394459
de_faixa_faturamento_estimado_grupo,0.009757515187585023,0.0016749679960189013
['natureza_juridica_macro']_ENTIDADES EMPRESARIAIS,0.009718214041481082,0.0021169510254058755
['de_ramo']_SERVICOS ADMINISTRATIVOS,0.009319834235439082,0.0021388118193592168
