,id,prob
44,8f47b3fb07c1afaf5835b0c0cde0a22b2549f0fd510fed1284b388c6e47bc54c,0.461
453,564abd56d9463691fbf1084a0587074d7d8b82f3b12a24160c0436532efd2515,0.413
311,404a4794e6c49a99b5375c5d1d2a366d164c0efa4075a5f1cea61224397bd435,0.355
144,5c4f6d27e6ade1e6513853423ca3cf88d1f7ec52a1dfbd7e9ff1e6fadebbd38a,0.339
218,53ebc5e83bcbf87cd90507bb2e640e64d737ce24d65b0bdf29b2ec5cc726af57,0.337
100,be70d272f96817db177f28016e7c6417b05e7169a4fe023b7d11ac732d195deb,0.327
123,645790740be91219edd0d2f6963dabbc4e267b87fa1de5a13662fbc350f5af91,0.318
306,d59007936f37098cfd62f07f8a5293f1fd3d25c2d10dc5acda23e507fc78916b,0.306
456,fee7f1152d82d36ff547a8f9905b01a016f889c1a3a0ae13b75a42863c6e7f46,0.305
243,41ac568aa0f9b2816a51a43a2d8c2a78c2a3d4b275ac021bb498b50a4d9303ec,0.305
282,d3f66d10d94ada4d5805d85501502491c1f3c4963fafc51cf8b39f84da54be96,0.304
63,f507eb3d15d131d42bed7bce9f05d8c734ed64a58774f5d40e880a95fcd3d8e8,0.303
24,bbbed4e1c22a33f631f956216be7065e9c26c51e6af321f75007ef805d9fc85f,0.3
23,0f023a031a0bea745f7ee36134edaac5e972d27f4ff38d4a8be4f9736075fdeb,0.298
101,97553af51516060c653d4d0659e58be65533e19c922f0a4714c9f95f5f11b1c4,0.295
300,7bd43965410c1702cc9eefba17596939efdae18b63d7c2f1b1f54290fb52daf0,0.294
49,2421636d5d7ad8674133f47e0f7351713eea9ed94d552955138a154cc5df4c66,0.293
25,9ce32f1652f188c570cc4ccb7439085c0b69785555db01b897163573b1962209,0.292
462,f805d187cda4465bd35cc163d2b1015d9cc0973076ece280773946a803660794,0.289
161,5c644e3b69ab9dcd2128aa41f5f0510c202b5afdeb73052ff28da58ddf921a17,0.28
148,26f06243364a15222b0d36c8a3468772841a2b21efdb6f85047a98110abba65b,0.28
302,5a20e6a800d9c50268488d211c989a5ab78bd5364db4b6bfcf23224404585ca8,0.279
422,56a229618dec359e2d8d324803433c6eebb90e25b32a6d6172eec2e6f1f75597,0.278
197,544ffaf1faf34abfe3248aa5d0360c8f5f192f206565d5aaac12c3dafbeb779d,0.275
366,70897f415c4473d8ca650d0ff4a567c5bb0f7a87df2f320d442628638bfe8a59,0.274
330,545338bfcb8b249a9a949df9e5ff87febe7eabe501831784e6017e6a7d5b03d4,0.271
94,e50581982b6695e6121a27aa0e2aef4a548e900b45da57e2d36a01ae49230512,0.271
69,5b73a99503cb431a2c1da44a8368fd2a7d079717bc6a3905838dac4a8f4333e2,0.269
172,e54e3b10d13af88b1796ba477aaa355856798fa5b96bd2ed318b28aa3874cffc,0.266
376,489fc66e1a316f58999f71d902a85aa515fb8da84cc68785d8abd9e2d3243b40,0.261
79,c91d06273347df119e372452b7f56a96d1364b026f8b05227f88da293af05e83,0.261
2,09e95c1a84049001d086470a8f320a19b076f955a89122ff8360ac2e4d6eca5d,0.26
210,7ebba3c4fb329fc5009de457bcb554588642778a71ce8ae5963bffe8ada13a8b,0.258
62,eee8be8a00d25a9647d1ceca1a6a596475d9b32395826e7ec9ed6026ead01402,0.255
203,20307372533b9b6b60b355ade03829162fb8e64f3a6a53dc4fdae993420bb7a0,0.254
219,69f9388ecee2c0b470fa23a3a91cea59a4d89f1d2045121d338ba167eeaeec93,0.253
